F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0     205       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_23
1 I     0     206       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_23
1 S     0     207       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_24
1 I     0     208       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_24
1 S     0     209       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_25
1 I     0     210       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_25
1 S     0     211       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_26
1 I     0     212       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_26
1 S     0     213       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_27
1 I     0     214       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_27
1 S     0     215       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_28
1 I     0     216       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_28
1 S     0     217       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_29
1 I     0     218       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_29
1 S     0     219       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_30
1 I     0     220       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_30
1 S     0     221       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_31
1 I     0     222       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_31
1 S     0     232       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_32
1 I     0     237       2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_32
1 S     0     278       2  0  80   0 -     0 -      ?        00:00:06 jbd2/sda3-8
1 I     0     279       2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0     318       1  0  79  -1 - 16352 -      ?        00:00:24 systemd-journal
1 S     0     345       1  0  80   0 - 38141 -      ?        00:00:00 vmware-vmblock-
1 S     0     353       2  0   9   - -     0 -      ?        00:00:06 irq/16-vmwgfx
1 I     0     354       2  0  60 -20 -     0 -      ?        00:00:00 ttm
4 S     0     372       1  0  80   0 -  6744 -      ?        00:00:03 systemd-udevd
1 S     0     517       2  0   9   - -     0 -      ?        00:00:04 irq/57-vmw_vmci
1 S     0     519       2  0   9   - -     0 -      ?        00:00:00 irq/58-vmw_vmci
1 S     0     520       2  0   9   - -     0 -      ?        00:00:01 irq/59-vmw_vmci
1 I     0     615       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u257:2-hci0
4 S   108     620       1  0  80   0 -  3709 -      ?        00:04:46 systemd-oomd
4 S   101     623       1  0  80   0 -  6418 -      ?        00:00:05 systemd-resolve
4 S   103     624       1  0  80   0 - 22347 -      ?        00:00:03 systemd-timesyn
4 S     0     638       1  0  80   0 - 13430 -      ?        00:00:00 VGAuthService
4 S     0     644       1  0  80   0 - 79363 -      ?        00:08:34 vmtoolsd
1 I     0     669       2  0  60 -20 -     0 -      ?        00:00:00 cryptd
4 S     0     686       1  0  80   0 - 60000 -      ?        00:00:07 accounts-daemon
4 S     0     688       1  0  80   0 -   704 -      ?        00:00:00 acpid
4 S   114     691       1  0  80   0 -  1907 -      ?        00:00:12 avahi-daemon
4 S     0     693       1  0  80   0 -  2375 -      ?        00:00:01 cron
4 S   102     695       1  0  80   0 -  2758 -      ?        00:00:09 dbus-daemon
4 S     0     697       1  0  80   0 - 186204 -     ?        00:00:30 NetworkManager
4 S     0     705       1  0  80   0 - 20708 -      ?        00:00:19 irqbalance
4 S     0     707       1  0  80   0 - 10258 -      ?        00:00:00 networkd-dispat
4 S     0     709       1  0  80   0 - 60798 -      ?        00:00:03 polkitd
4 S     0     711       1  0  80   0 - 60026 -      ?        00:00:00 power-profiles-
4 S   104     714       1  0  80   0 - 55601 -      ?        00:00:03 rsyslogd
4 S     0     723       1  0  80   0 - 367055 -     ?        00:00:55 snapd
4 S     0     725       1  0  80   0 - 59146 -      ?        00:00:00 switcheroo-cont
4 S     0     734       1  0  80   0 -  3862 -      ?        00:00:02 systemd-logind
4 S     0     738       1  0  80   0 - 116773 -     ?        00:00:03 udisksd
4 S     0     739       1  0  80   0 -  4126 -      ?        00:00:03 wpa_supplicant
1 S   114     781     691  0  80   0 -  1861 -      ?        00:00:00 avahi-daemon
4 S     0     807       1  0  80   0 - 79493 -      ?        00:00:00 ModemManager
4 S     0     858       1  0  80   0 - 29546 -      ?        00:00:00 unattended-upgr
4 S     0     878       1  0  80   0 - 60304 -      ?        00:00:00 gdm3
4 S     0     902       1  0  80   0 -  2622 -      ?        00:00:00 bluetoothd
4 S     0     910     878  0  80   0 - 97981 -      ?        00:00:01 gdm-session-wor
1 S   113     976       1  0  80   0 -  3273 -      ?        00:00:00 kerneloops
1 S   113     984       1  0  80   0 -  3273 -      ?        00:00:00 kerneloops
4 S  1000    1045       1  0  80   0 -  4951 ep_pol ?        00:00:09 systemd
5 S  1000    1053    1045  0  80   0 - 26049 -      ?        00:00:00 (sd-pam)
0 S  1000    1149    1045  0  80   0 -  9894 ep_pol ?        00:00:00 pipewire
0 S  1000    1150    1045  0  80   0 -  5866 ep_pol ?        00:00:00 pipewire-media-
0 S  1000    1152    1045  0  80   0 - 355567 do_pol ?       00:00:11 pulseaudio
1 S  1000    1181       1  0  80   0 - 97100 do_pol ?        00:00:00 gnome-keyring-d
4 S   116    1184       1  0  81   1 - 38501 -      ?        00:00:07 rtkit-daemon
0 S  1000    1186    1045  0  80   0 -  3927 ep_pol ?        00:00:10 dbus-daemon
4 S  1000    1191     910  0  80   0 - 40599 do_pol tty4     00:00:00 gdm-wayland-ses
0 S  1000    1195    1045  0  80   0 - 134228 do_pol ?       00:00:00 xdg-document-po
0 S  1000    1196    1191  0  80   0 - 55762 do_pol tty4     00:00:00 gnome-session-b
0 S  1000    1204    1045  0  80   0 - 59040 do_pol ?        00:00:00 xdg-permission-
0 S  1000    1212    1045  0  80   0 - 60162 do_pol ?        00:00:00 gvfsd
4 S     0    1219    1195  0  80   0 -   699 -      ?        00:00:00 fusermount3
0 S  1000    1241    1045  0  80   0 - 95224 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000    1279    1045  0  80   0 - 22979 do_pol ?        00:00:00 gnome-session-c
0 S  1000    1291    1045  0  80   0 - 180984 do_pol ?       00:00:01 gnome-session-b
0 S  1000    1305    1291  0  80   0 - 77397 do_pol ?        00:00:00 at-spi-bus-laun
0 S  1000    1310    1045  0  80   0 - 1110192 do_pol ?      00:12:27 gnome-shell
0 S  1000    1320    1305  0  80   0 -  2141 ep_pol ?        00:00:00 dbus-daemon
4 S  1000    1370    1045  0  80   0 - 19071 do_wai ?        00:00:00 snapd-desktop-i
0 S  1000    1402    1045  0  80   0 - 145659 do_pol ?       00:00:01 gnome-shell-cal
0 S  1000    1418    1045  0  80   0 - 251658 do_pol ?       00:00:01 evolution-sourc
4 S     0    1423       1  0  80   0 - 60558 -      ?        00:00:00 upowerd
1 S  1000    1426    1370  0  80   0 - 95619 do_pol ?        00:00:01 snapd-desktop-i
0 S  1000    1432    1045  0  80   0 - 221493 do_pol ?       00:00:11 xdg-desktop-por
0 S  1000    1438    1045  0  80   0 - 165584 do_pol ?       00:00:02 xdg-desktop-por
0 S  1000    1442    1045  0  80   0 - 145459 do_pol ?       00:00:02 goa-daemon
0 S  1000    1444    1045  0  80   0 - 79007 do_pol ?        00:00:01 gvfs-udisks2-vo
0 S  1000    1450    1045  0  80   0 - 296135 do_pol ?       00:00:04 evolution-calen
0 S  1000    1457    1045  0  80   0 - 59387 do_pol ?        00:00:00 gvfs-gphoto2-vo
